country,countrycode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
ARMENIA,ARM,-0.52,0.48,2,28.37,10.53,55.02,-0.76,0.38,3,22.12,10.53,39.71,-0.8,0.4,3,22.12,9.57,39.23,-0.36,0.4,3,32.69,18.66,56.94,0.21,0.33,3,50,33.97,70.33,-0.12,0.32,4,40.38,24.88,60.77,-0.06,0.3,5,43.75,28.71,59.81,-0.28,0.27,6,35.58,25.36,52.15,0.11,0.26,6,47.12,33.49,64.11,-0.02,0.26,6,44.02,30,59.05,0.23,0.26,6,51.66,38.21,69.34,0.03,0.26,6,48.11,32.39,61.97,-0.09,0.25,6,42.92,30.05,58.22,0.11,0.23,7,50.71,38.21,62.74,0.07,0.23,7,49.76,36.79,61.79,-0.21,0.21,7,37.86,26.57,52.66
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.03,0.44,1,82.21,55.98,100,1.42,0.38,2,99.04,70.33,100,1.36,0.37,2,96.15,67.94,100,1.35,0.35,2,96.63,72.73,100,1.36,0.34,2,97.13,72.38,100,1.14,0.31,3,89.1,69.34,100,1.12,0.3,3,88.68,68.08,99.53,1.31,0.29,3,94.34,70.42,99.53,1.3,0.27,3,93.36,73.11,99.53,1.34,0.28,3,95.73,75,99.53,1.24,0.25,3,92.72,76.33,99.52
AUSTRALIA,AUS,1.33,0.37,4,97.12,70.33,100,1.01,0.34,4,82.21,61.24,100,1.26,0.3,5,93.75,72.25,100,1.11,0.28,6,86.06,65.55,99.52,0.85,0.28,6,75.48,57.89,96.17,0.92,0.28,7,78.85,62.68,96.17,0.88,0.27,7,76.44,59.81,94.74,0.92,0.26,7,77.4,60.29,95.69,0.93,0.26,7,79.33,62.2,96.65,0.95,0.26,7,79.43,63.33,97.14,0.83,0.24,8,76.3,61.32,91.51,0.87,0.24,8,77.83,63.85,92.49,0.93,0.24,9,74.53,64.32,94.84,1,0.22,9,81.52,68.4,96.7,1.02,0.22,9,83.41,66.51,97.64,1.08,0.2,9,87.38,71.98,98.07
AUSTRIA,AUT,1.33,0.37,4,96.63,70.33,100,1.07,0.34,4,86.06,62.68,100,0.79,0.3,5,74.52,56.94,94.26,1.28,0.28,6,95.19,74.64,100,0.95,0.28,6,80.77,62.68,97.13,1.07,0.28,7,84.62,66.51,99.04,1.1,0.27,7,86.54,66.99,99.52,1.08,0.26,7,86.54,66.51,100,1.28,0.26,7,96.15,77.51,100,1.34,0.26,7,96.65,78.1,100,1.17,0.24,8,90.05,73.11,99.53,1.12,0.24,8,89.15,70.89,97.65,1.18,0.24,9,90.57,70.42,99.06,1.32,0.22,9,94.31,78.77,99.53,1.34,0.22,9,96.21,80.19,99.53,1.29,0.2,9,96.12,81.64,99.52
AZERBAIJAN,AZE,-0.92,0.4,3,18.75,8.61,37.8,-0.83,0.34,4,19.71,10.53,33.49,-0.93,0.33,4,19.23,9.57,33.49,-1.29,0.31,4,14.42,4.31,23.44,-1,0.3,4,19.71,9.57,28.71,-1.09,0.29,5,15.87,6.7,24.88,-1.11,0.28,6,16.83,6.7,25.84,-1.08,0.27,6,16.35,8.61,26.79,-0.65,0.26,6,24.52,16.27,36.84,-0.33,0.26,6,32.54,20,49.05,-0.29,0.24,7,35.07,22.64,48.11,-0.25,0.24,7,35.85,25.82,52.11,-0.53,0.24,7,29.25,19.72,41.78,-0.69,0.23,7,23.7,16.98,36.79,-0.41,0.23,7,32.7,20.75,45.75,-0.5,0.21,7,29.13,18.36,39.61
"BAHAMAS, THE",BHS,0.98,0.43,3,82.21,55.02,100,1,0.38,3,80.29,58.85,100,1.19,0.4,3,87.98,65.55,100,0.9,0.4,3,79.81,53.11,99.04,0.82,0.33,3,72.6,54.07,97.13,0.92,0.32,4,78.37,60.77,98.56,0.96,0.32,4,79.33,59.81,99.52,0.85,0.32,4,74.52,54.55,96.17,0.75,0.3,4,72.12,53.11,93.78,0.8,0.3,4,72.73,54.76,95.71,0.86,0.27,5,77.73,59.43,93.87,0.99,0.27,5,83.96,65.73,94.84,1.1,0.26,5,88.21,69.01,99.06,1.17,0.25,5,91,70.75,99.53,1.12,0.25,5,90.05,67.45,99.06,1.02,0.22,5,83.98,67.63,97.58
BAHRAIN,BHR,-0.41,0.37,4,32.69,18.18,53.11,-0.26,0.34,4,33.65,21.05,56.46,-0.02,0.33,4,43.27,28.23,65.55,0.19,0.31,4,49.04,35.41,67.94,0.43,0.3,4,58.65,39.71,80.38,0.29,0.28,6,55.77,38.76,73.68,-0.02,0.28,6,45.67,30.62,59.81,-0.39,0.27,6,32.21,22.49,47.85,-0.24,0.26,6,36.54,24.4,50.72,-0.24,0.26,6,35.89,24.29,52.38,-0.16,0.24,7,39.81,27.36,51.89,-0.51,0.24,7,27.83,19.72,42.72,-0.96,0.24,7,18.4,10.8,29.11,-1.14,0.23,7,15.17,7.55,22.17,-1.35,0.23,7,8.53,6.13,18.4,-0.94,0.21,7,14.56,8.7,25.6
BANGLADESH,BGD,-0.61,0.37,4,25,12.44,45.45,-0.45,0.34,4,29.33,16.75,49.76,-0.77,0.33,4,23.56,12.44,36.84,-1.08,0.3,5,17.79,10.05,27.27,-1.14,0.29,5,17.31,6.22,26.32,-1.38,0.28,6,10.1,4.78,19.14,-1.84,0.28,6,4.33,1.44,10.05,-1.48,0.25,7,8.65,4.78,17.22,-1.5,0.24,7,9.13,5.26,15.79,-1.48,0.24,7,9.57,5.24,16.19,-1.54,0.24,7,9,4.72,15.09,-1.4,0.24,7,9.91,4.69,16.43,-1.39,0.24,8,8.96,4.69,16.9,-1.35,0.22,8,9,5.66,17.92,-1.63,0.23,8,7.58,4.72,10.85,-0.88,0.2,8,17.96,10.14,27.05
BARBADOS,BRB,0.96,0.48,2,81.73,51.2,100,1,0.44,2,81.73,55.98,100,1.05,0.46,2,82.69,56.94,100,0.99,0.45,2,81.73,54.55,100,0.91,0.36,2,79.81,56.94,98.56,1.15,0.34,3,89.9,65.55,100,1.15,0.35,3,87.98,65.07,100,0.94,0.33,4,78.85,58.85,99.52,1.09,0.31,4,86.54,66.51,100,1.1,0.3,4,88.04,67.62,100,1.06,0.28,5,87.2,68.87,99.53,1.09,0.27,5,87.74,68.08,99.06,1.28,0.27,5,92.92,71.36,99.53,1.22,0.25,5,92.42,72.64,99.53,1.3,0.25,5,92.89,75,99.53,1.35,0.22,5,97.57,82.13,99.52
BELARUS,BLR,0,0.48,2,45.67,21.05,72.25,0.02,0.38,3,46.63,25.84,67.46,0.06,0.4,3,48.56,27.27,70.33,0.23,0.4,3,52.4,29.67,79.43,0.68,0.33,3,68.75,48.33,95.22,0.16,0.32,4,52.88,32.54,71.29,0.35,0.32,4,57.21,40.19,76.08,0.13,0.28,5,51.44,33.01,65.07,0.31,0.27,5,55.29,39.23,72.25,0.5,0.27,5,63.16,46.19,80,0.47,0.27,5,62.56,45.28,80.66,-0.13,0.27,5,41.04,26.29,55.87,-0.12,0.26,5,41.98,29.11,58.22,0.02,0.23,7,45.97,36.79,59.91,-0.04,0.23,7,45.5,32.55,58.96,0.12,0.21,7,51.94,36.71,61.84
