country,countrycode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
BULGARIA,BGR,-0.2,0.37,4,39.9,21.05,57.89,0.53,0.34,4,62.98,44.02,86.6,0.35,0.33,4,59.62,36.84,77.99,0.4,0.3,5,59.62,42.58,79.43,0.15,0.29,5,48.56,34.93,65.55,-0.02,0.28,6,45.19,28.71,61.72,0.13,0.28,6,51.92,35.89,65.55,0.39,0.24,8,58.65,45.93,70.33,0.35,0.24,8,57.21,42.11,71.77,0.35,0.24,8,56.94,42.86,70.95,0.32,0.24,8,54.03,41.98,69.81,0.33,0.24,8,56.13,43.66,70.89,0.28,0.24,9,55.66,42.25,69.01,0.35,0.22,9,59.72,43.87,69.34,0.15,0.22,9,52.61,38.21,64.62,0.08,0.2,9,50,35.27,59.9
BURKINA FASO,BFA,-0.41,0.43,3,32.21,14.83,55.02,-0.2,0.38,3,37.98,19.62,60.29,-0.01,0.4,3,43.75,26.32,67.46,-0.37,0.4,3,31.73,18.66,55.02,0.04,0.33,3,43.27,28.71,65.07,-0.11,0.32,4,41.83,24.88,61.24,-0.08,0.32,4,43.27,27.27,60.29,0.15,0.25,7,51.92,37.32,63.64,0.29,0.24,7,53.85,39.23,70.33,0.1,0.24,7,48.33,32.86,62.38,0.01,0.24,7,45.02,31.6,59.43,-0.15,0.24,7,40.57,26.29,53.99,-0.58,0.24,7,28.3,18.31,39.44,-0.59,0.22,8,26.54,18.87,38.68,-0.8,0.23,8,20.38,13.21,32.55,-0.79,0.2,8,19.42,10.63,29.95
BURUNDI,BDI,-2.24,0.48,2,2.88,0,8.61,-2.43,0.44,2,0.96,0,7.66,-2.15,0.46,2,1.44,0,11.48,-2.39,0.45,2,0.48,0,8.13,-2.31,0.36,2,1.44,0,5.74,-2.51,0.34,3,0.96,0.48,4.31,-1.51,0.35,3,6.73,2.87,20.57,-1.4,0.28,5,10.1,4.78,18.66,-1.32,0.28,5,10.58,7.18,19.14,-1.63,0.28,5,9.09,2.86,13.81,-1.27,0.28,5,12.8,5.66,20.75,-1.6,0.27,5,7.55,3.76,13.62,-1.78,0.27,5,5.19,2.82,10.8,-1.69,0.24,6,5.69,3.3,10.85,-1.31,0.24,6,9.95,6.13,18.87,-0.89,0.22,6,17.48,9.66,27.05
CAMBODIA,KHM,-1.15,0.4,3,13.94,6.22,29.67,-1.31,0.37,3,10.58,5.74,24.4,-0.87,0.37,3,19.71,9.57,35.41,-0.8,0.33,3,23.08,13.88,37.8,-0.7,0.32,3,25.96,13.88,37.8,-0.43,0.31,4,30.29,19.14,48.33,-0.42,0.3,5,34.62,21.05,48.33,-0.38,0.26,6,32.69,22.97,46.89,-0.41,0.25,6,30.77,19.62,43.54,-0.34,0.26,6,32.06,20.48,47.62,-0.59,0.26,6,26.54,16.04,39.62,-0.54,0.25,6,26.42,17.84,42.25,-0.33,0.25,7,35.85,23,49.77,-0.14,0.23,7,40.76,29.72,55.66,-0.17,0.24,7,39.81,26.42,55.19,-0.04,0.21,7,44.66,30.92,57.97
CAMEROON,CMR,-1.07,0.37,4,17.79,7.18,31.1,-0.82,0.34,4,20.67,10.53,33.49,-0.57,0.33,4,27.88,15.31,43.06,-0.72,0.31,4,24.52,16.27,39.71,-0.47,0.29,5,29.81,21.05,41.63,-0.4,0.29,5,31.25,19.62,48.8,-0.18,0.28,6,40.38,27.27,55.98,-0.26,0.25,7,37.02,25.84,51.67,-0.34,0.24,7,33.17,22.97,44.98,-0.55,0.24,7,27.27,16.67,39.05,-0.48,0.24,7,29.38,19.34,41.51,-0.73,0.24,7,23.58,14.08,34.27,-0.66,0.24,8,26.42,16.43,38.97,-0.58,0.22,8,27.49,18.87,39.15,-0.53,0.23,8,28.44,19.34,41.51,-0.94,0.2,8,14.08,8.7,25.6
CANADA,CAN,1.16,0.37,4,87.5,63.64,100,0.9,0.34,4,78.37,58.37,99.52,1.1,0.3,5,83.65,66.03,99.04,1.14,0.28,6,87.02,67.94,99.52,1.03,0.28,6,85.58,64.11,98.56,0.85,0.28,7,75.96,60.77,93.78,0.79,0.27,7,71.63,56.94,89.95,0.99,0.24,8,81.25,65.07,96.17,0.97,0.24,8,80.77,66.51,96.65,1.01,0.24,8,81.82,67.62,99.05,1.1,0.24,8,87.68,69.81,99.06,0.9,0.24,8,79.25,64.32,92.96,1.06,0.24,9,84.43,69.01,98.12,1.09,0.22,9,88.63,69.34,98.58,1.03,0.22,9,83.89,66.51,97.64,1.18,0.2,9,91.26,76.33,99.03
CAPE VERDE,CPV,0.94,0.65,1,79.81,43.54,100,1.03,0.58,1,84.62,47.85,100,1.12,0.62,1,87.02,49.76,100,0.66,0.45,2,67.31,43.54,95.69,0.91,0.36,2,79.81,56.94,98.56,1.07,0.38,2,83.65,61.72,100,0.78,0.4,2,69.71,51.67,99.04,0.97,0.32,3,80.77,60.29,99.52,0.9,0.32,3,78.37,57.89,98.56,0.83,0.32,3,74.64,54.29,96.67,0.84,0.29,4,77.25,57.08,94.34,0.86,0.27,5,77.36,58.22,92.96,0.72,0.3,4,69.81,55.4,91.55,0.81,0.25,5,72.04,59.91,91.51,0.77,0.25,5,69.67,58.96,90.57,0.41,0.22,5,59.71,46.86,72.46
CAYMAN ISLANDS,CYM,0.65,0.61,1,66.35,34.45,100,0.65,0.58,1,67.31,32.06,100,0.64,0.59,1,67.31,34.45,99.04,0.72,0.52,1,69.23,42.11,99.52,0.82,0.42,1,74.04,48.33,99.04,1.3,0.38,2,93.75,71.29,100,1.24,0.38,2,91.35,66.03,100,1.16,0.37,2,90.87,63.16,100,1.15,0.35,2,91.83,66.99,100,1.16,0.34,2,91.87,67.62,100,1.12,0.31,3,88.15,68.87,100,1.2,0.3,3,90.09,70.89,100,1.38,0.29,3,98.11,73.24,99.53,1,0.31,2,82.46,62.74,99.06,1.06,0.32,2,85.31,64.62,99.06,1.11,0.28,2,87.86,67.63,99.52
CENTRAL AFRICAN REPUBLIC,CAF,-1.37,0.48,2,9.13,3.35,26.79,-1.29,0.44,2,11.54,4.31,27.75,-1.3,0.46,2,12.5,2.87,28.71,-1.88,0.45,2,3.37,0,16.27,-1.59,0.36,2,6.73,2.87,20.1,-1.41,0.34,3,8.65,4.31,20.1,-1.42,0.35,3,8.65,3.35,22.01,-1.84,0.34,3,5.77,0.96,12.92,-1.83,0.32,3,6.25,2.39,11,-1.83,0.32,3,6.7,2.38,11.43,-1.88,0.27,5,4.74,2.36,9.43,-2.01,0.26,5,3.77,1.88,7.98,-1.78,0.26,5,4.72,2.82,10.8,-1.87,0.25,5,5.21,2.36,7.55,-2.18,0.25,5,3.32,1.42,5.66,-2.67,0.23,5,0.49,0,4.83
CHAD,TCD,-1.1,0.48,2,15.38,4.31,35.41,-1.41,0.44,2,10.1,4.31,24.88,-1.25,0.46,2,12.98,4.31,30.14,-1.7,0.45,2,6.25,0.48,18.66,-1.41,0.34,3,10.1,4.31,22.49,-1.5,0.32,4,7.21,3.83,19.14,-1.39,0.33,4,9.62,4.31,21.53,-1.81,0.26,6,6.25,1.91,11,-1.86,0.25,6,5.77,2.87,9.57,-1.97,0.26,6,3.83,2.38,9.52,-1.69,0.26,6,6.16,2.83,13.21,-1.51,0.25,6,8.96,4.69,14.55,-1.32,0.25,6,10.85,5.63,19.72,-1.06,0.24,6,17.06,8.02,25,-1.1,0.24,6,15.17,8.02,23.11,-1.53,0.22,6,8.25,6.76,10.14
CHILE,CHL,0.62,0.37,4,64.42,46.89,93.3,-0.02,0.34,4,44.23,27.75,63.16,0.43,0.3,5,63.46,41.15,78.47,1,0.28,6,82.21,64.11,97.61,0.75,0.28,6,70.19,55.5,94.74,0.68,0.28,7,71.15,54.55,87.08,0.85,0.27,7,73.56,58.85,93.3,0.58,0.24,8,64.9,52.63,80.86,0.4,0.24,8,58.65,43.54,74.16,0.41,0.24,8,58.85,44.76,73.81,0.59,0.24,8,67.3,51.42,84.91,0.67,0.24,8,69.81,54.93,86.85,0.46,0.24,9,61.79,49.3,71.36,0.34,0.22,9,58.77,43.4,68.87,0.38,0.22,9,59.72,46.7,68.87,0.49,0.2,9,63.11,53.14,75.85
CHINA,CHN,-0.17,0.37,4,41.35,21.05,58.85,-0.44,0.34,4,30.29,16.75,50.24,-0.27,0.3,5,35.1,23.44,55.02,-0.36,0.28,6,32.21,22.49,47.37,-0.57,0.28,6,27.88,19.14,39.71,-0.36,0.28,7,32.21,21.53,49.76,-0.48,0.27,7,31.25,21.05,44.98,-0.54,0.24,8,28.37,18.18,41.63,-0.49,0.24,8,28.37,18.66,39.23,-0.48,0.24,8,29.67,18.1,40.48,-0.43,0.24,8,30.81,20.28,42.92,-0.66,0.24,8,25,15.02,35.68,-0.61,0.24,9,27.83,17.37,38.97,-0.55,0.22,9,28.44,18.87,39.62,-0.55,0.22,9,27.01,19.34,39.62,-0.46,0.2,9,29.61,19.32,40.58
COLOMBIA,COL,-1.6,0.37,4,8.17,3.35,18.18,-1.77,0.34,4,6.73,1.91,12.92,-1.61,0.3,5,8.17,1.91,15.31,-1.98,0.28,6,2.88,0.48,10.53,-2.39,0.28,6,0.96,0,4.78,-2.19,0.28,7,2.4,0.96,4.78,-2.04,0.27,7,2.88,0.96,6.7,-1.86,0.24,8,4.81,1.44,9.09,-1.79,0.24,8,6.73,3.35,9.57,-1.84,0.24,8,5.74,2.38,10,-1.83,0.24,8,5.21,2.36,9.43,-1.53,0.24,8,8.49,4.69,13.62,-1.27,0.24,9,12.26,5.63,19.72,-1.4,0.22,9,8.06,5.66,17.45,-1.28,0.22,9,10.43,7.08,18.87,-1.12,0.2,9,10.68,8.7,19.32
COMOROS,COM,0.38,0.48,2,57.21,32.06,87.56,0.45,0.44,2,61.06,33.49,89.47,-0.11,0.46,2,39.9,19.62,68.9,0.25,0.45,2,54.33,28.23,80.86,-0.72,0.36,2,25.48,12.92,39.23,-0.13,0.38,2,39.42,22.49,63.16,-0.39,0.4,2,35.1,17.22,55.98,-0.31,0.39,2,33.65,17.7,54.55,-1.06,0.37,2,16.35,8.13,29.19,-1.08,0.36,2,15.79,9.05,29.52,-0.75,0.32,3,21.8,12.26,37.74,-0.5,0.33,3,28.3,15.96,48.36,-0.48,0.37,2,30.66,15.49,50.7,-0.38,0.29,3,35.07,20.28,49.53,-0.19,0.3,3,38.86,24.53,58.02,-0.19,0.26,3,38.83,25.12,56.04
"CONGO, DEM. REP.",ZAR,-2.83,0.43,3,0,0,3.35,-2.99,0.38,3,0,0,1.44,-2.59,0.4,3,0,0,5.26,-2.1,0.4,3,1.92,0,11.96,-2.08,0.33,3,3.37,0.48,8.61,-2.39,0.29,5,1.44,0.96,4.31,-2.17,0.29,5,1.44,0.96,5.74,-2.27,0.32,4,0.96,0.48,7.18,-2.21,0.3,4,2.88,0.96,8.13,-2.03,0.3,4,2.87,1.43,9.52,-1.99,0.25,6,3.79,1.89,8.49,-2.23,0.25,6,2.83,1.41,4.69,-2.24,0.25,6,2.36,0.94,4.69,-2.14,0.24,6,2.84,1.42,5.66,-2.23,0.24,6,2.37,0.94,4.72,-2.27,0.22,6,4.85,0.97,6.76
"CONGO, REP.",COG,-1.37,0.43,3,9.62,3.83,23.44,-1.6,0.38,3,8.17,3.35,16.75,-1.03,0.4,3,16.83,7.66,33.49,-1.66,0.4,3,7.69,0.96,18.66,-1.2,0.33,3,15.38,5.74,26.79,-1.14,0.32,4,14.9,5.74,24.88,-1.16,0.29,5,15.87,6.7,25.84,-0.94,0.28,5,17.79,10.05,30.62,-0.76,0.27,5,21.63,12.92,33.49,-0.71,0.27,5,21.53,13.81,35.71,-0.28,0.25,6,36.02,22.64,49.06,-0.33,0.25,6,33.96,22.54,49.77,-0.36,0.25,6,34.91,21.13,49.3,-0.49,0.24,6,30.81,19.81,41.98,-0.48,0.24,6,30.33,19.81,42.45,-0.29,0.22,6,33.5,24.15,48.31
COOK ISLANDS,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.28,0.68,1,93.84,50.47,100,1.45,0.59,1,96.7,63.85,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COSTA RICA,CRI,0.69,0.37,4,69.23,48.33,95.69,0.84,0.34,4,75.48,56.46,98.56,0.79,0.33,4,73.56,55.5,95.22,0.99,0.3,5,80.77,63.64,97.61,0.58,0.29,5,64.42,47.37,85.65,0.65,0.28,6,68.75,53.11,86.6,0.71,0.28,6,67.31,55.5,88.52,0.75,0.27,6,68.27,54.55,91.87,0.61,0.26,6,68.27,50.24,85.65,0.37,0.26,6,57.42,41.9,73.33,0.57,0.26,6,65.88,50,84.91,0.69,0.26,6,70.28,54.46,87.79,0.51,0.25,6,63.21,49.77,74.18,0.63,0.23,7,66.82,55.66,81.6,0.66,0.23,7,66.82,58.02,83.96,0.63,0.2,8,67.48,57.49,82.13
C•TE D'IVOIRE,CIV,0.01,0.37,4,46.15,25.84,63.64,-0.26,0.34,4,34.13,21.05,56.46,-1.32,0.33,4,12.02,5.26,23.44,-1.99,0.31,4,2.4,0.48,11.96,-1.84,0.3,4,4.81,1.44,12.44,-2.16,0.29,5,2.88,0.96,5.74,-2.3,0.29,5,0.96,0,4.78,-1.89,0.25,6,3.85,0.96,8.61,-1.89,0.25,6,5.29,2.87,9.57,-1.82,0.24,7,7.18,2.38,10,-1.28,0.24,7,11.37,6.6,19.34,-1.57,0.24,7,8.02,4.23,13.62,-1.4,0.24,7,8.49,4.69,16.9,-1.26,0.22,8,11.37,6.6,19.34,-1.02,0.23,8,17.06,8.02,25,-1.01,0.2,8,12.62,8.7,23.67
CROATIA,HRV,-0.18,0.4,3,40.38,20.57,62.2,-0.04,0.34,4,43.75,26.32,62.68,0.15,0.33,4,52.4,32.06,69.38,0.53,0.3,5,63.94,44.98,82.3,0.52,0.29,5,62.98,44.5,82.78,0.64,0.28,6,67.79,53.11,86.6,0.43,0.28,6,59.62,45.45,77.03,0.54,0.26,7,63.46,49.28,80.86,0.59,0.26,7,67.31,48.8,83.73,0.55,0.26,7,65.55,49.52,80.95,0.59,0.25,7,66.35,50.94,84.91,0.58,0.25,7,66.04,52.11,84.04,0.6,0.25,8,66.98,54.93,81.69,0.58,0.22,9,64.45,53.3,78.3,0.61,0.22,9,65.88,56.6,81.13,0.6,0.2,9,66.02,57.49,78.74
CUBA,CUB,0.16,0.37,4,50.96,31.1,70.81,-0.07,0.34,4,41.35,25.84,61.72,0.15,0.33,4,51.92,32.06,69.38,0.19,0.31,4,48.56,35.41,67.94,0.27,0.3,4,54.33,36.84,70.33,0.34,0.29,5,58.65,39.23,75.12,0.4,0.29,5,58.65,43.54,76.56,0.44,0.25,6,60.1,46.89,74.64,0.42,0.25,6,59.62,43.54,76.08,0.5,0.25,6,62.2,47.62,78.1,0.34,0.25,6,56.4,42.45,72.17,0.33,0.25,6,56.6,43.19,71.36,0.29,0.25,6,56.13,41.78,69.01,0.32,0.24,6,57.35,42.45,68.87,0.37,0.24,6,59.24,46.23,68.87,0.6,0.22,6,65.53,56.52,79.71
CYPRUS,CYP,0.3,0.37,4,55.29,35.89,76.08,0.13,0.34,4,50.48,30.62,69.86,0.43,0.33,4,62.98,39.71,78.95,0.09,0.31,4,46.63,29.67,65.55,0.47,0.3,4,62.5,40.19,81.82,0.35,0.28,6,59.13,40.67,74.64,0.47,0.28,6,62.02,46.41,77.99,0.52,0.27,6,62.98,47.85,80.38,0.54,0.26,6,63.94,46.89,80.86,0.64,0.26,6,68.9,52.38,87.14,0.38,0.24,7,57.82,43.87,73.11,0.44,0.24,7,61.32,48.36,76.53,0.6,0.24,7,66.04,54.93,81.69,0.62,0.23,7,65.88,55.66,80.19,0.55,0.23,7,64.93,54.72,75.94,0.69,0.21,7,68.93,58.94,85.51
CZECH REPUBLIC,CZE,1.04,0.37,4,84.62,59.33,100,0.81,0.34,4,73.56,55.98,98.56,0.26,0.3,5,55.77,36.36,72.25,0.95,0.28,6,80.29,63.64,96.17,0.85,0.28,6,75,57.89,96.17,0.63,0.28,7,66.83,53.11,84.69,0.91,0.27,7,77.4,61.72,95.69,1.01,0.24,8,82.21,65.07,99.04,0.98,0.24,8,81.73,67.46,96.65,1.01,0.24,8,82.3,67.62,99.05,0.88,0.24,8,78.2,63.21,91.98,0.96,0.24,8,81.6,65.73,94.37,1.1,0.24,9,87.74,69.01,98.59,1.04,0.22,9,84.36,68.87,98.11,1.05,0.22,9,84.36,67.45,98.11,0.97,0.2,9,82.04,67.63,96.14
DENMARK,DNK,1.36,0.37,4,98.08,70.81,100,1.36,0.34,4,97.6,73.21,100,1.43,0.3,5,96.15,78.47,100,1.44,0.28,6,97.12,80.38,100,1.17,0.28,6,89.9,69.38,99.52,1.05,0.28,7,83.17,65.55,99.04,1.04,0.27,7,83.17,65.55,99.52,1.03,0.26,7,83.17,65.07,99.52,1.11,0.26,7,87.02,70.33,100,1.05,0.26,7,86.12,68.57,99.52,0.97,0.24,8,84.36,66.04,94.81,1.03,0.24,8,85.85,68.08,94.84,1.1,0.24,8,88.68,69.01,98.59,0.91,0.22,9,74.88,63.21,92.92,0.95,0.22,9,78.2,65.09,92.92,0.94,0.2,9,79.61,66.18,95.17
DJIBOUTI,DJI,-0.48,0.48,2,30.77,10.53,55.5,-1.08,0.44,2,15.38,6.22,31.58,-0.39,0.46,2,32.21,14.35,59.81,-0.45,0.45,2,28.85,16.27,55.02,-0.96,0.36,2,20.67,8.61,33.97,-0.32,0.38,2,34.62,19.14,56.46,-0.78,0.4,2,24.04,8.13,42.58,-0.22,0.34,3,39.9,22.97,55.5,-0.06,0.32,3,40.87,26.79,61.72,0.3,0.32,3,54.55,36.19,74.76,0.5,0.29,4,63.51,45.28,84.91,0.26,0.28,4,54.72,38.5,70.89,0.18,0.27,4,54.72,38.97,68.08,0.17,0.26,4,51.66,38.21,64.62,-0.12,0.26,4,42.18,26.42,58.02,-0.72,0.23,4,21.84,11.11,32.85
DOMINICA,DMA,0.65,0.61,1,66.35,34.45,100,0.65,0.58,1,67.31,32.06,100,0.41,0.59,1,62.02,28.71,95.69,0.47,0.52,1,62.98,31.58,95.22,0.66,0.36,2,67.31,45.93,95.22,1.01,0.34,3,81.73,61.72,99.52,0.87,0.35,3,75.48,55.98,99.04,0.96,0.34,3,79.81,58.85,100,0.85,0.32,3,77.4,55.5,96.65,0.96,0.32,3,80.38,59.05,99.52,0.72,0.32,3,70.14,51.42,91.98,0.99,0.33,3,83.49,61.97,97.65,1.21,0.31,3,91.51,69.01,99.53,1.07,0.29,3,87.2,64.62,99.53,1.21,0.3,3,91.94,67.45,99.53,1.11,0.28,2,88.35,67.63,99.52
DOMINICAN REPUBLIC,DOM,-0.14,0.37,4,42.79,21.53,60.77,-0.48,0.34,4,28.37,16.75,47.85,-0.01,0.33,4,44.23,28.71,65.55,0.06,0.3,5,45.19,29.67,64.11,-0.45,0.29,5,30.29,21.05,42.58,-0.33,0.28,6,33.65,21.53,51.2,-0.23,0.28,6,38.94,25.36,55.02,-0.1,0.25,7,42.31,29.67,54.55,-0.09,0.24,7,39.9,28.71,55.5,-0.03,0.24,7,43.54,30,57.14,-0.01,0.24,7,44.08,31.6,58.96,-0.07,0.24,7,43.4,29.58,56.34,-0.01,0.24,8,47.17,33.8,60.09,0.24,0.22,8,55.45,41.04,65.09,0.18,0.23,8,54.98,38.68,65.09,0.19,0.2,8,54.37,40.58,64.73
ECUADOR,ECU,-0.87,0.37,4,20.19,8.61,36.84,-0.24,0.34,4,35.1,21.53,56.94,-0.69,0.33,4,25.96,13.4,39.23,-0.84,0.3,5,22.12,13.88,33.97,-1,0.29,5,20.19,9.57,28.71,-0.83,0.28,6,21.15,11.48,32.06,-0.8,0.28,6,23.08,12.44,35.89,-0.86,0.27,6,21.63,12.92,31.58,-0.79,0.26,6,20.19,12.44,32.54,-0.73,0.26,6,20.57,13.81,34.29,-0.68,0.24,7,22.75,15.09,35.85,-0.62,0.24,7,25.94,15.96,37.09,-0.71,0.24,7,24.06,14.55,37.09,-0.6,0.22,8,26.07,17.92,38.21,-0.18,0.23,8,39.34,26.42,55.19,-0.01,0.21,7,45.63,31.4,58.94
"EGYPT, ARAB REP.",EGY,-0.58,0.37,4,26.44,12.92,47.37,-0.06,0.34,4,41.83,25.84,62.2,-0.01,0.33,4,44.71,28.71,65.55,-0.46,0.31,4,28.37,18.66,44.98,-0.66,0.29,5,26.44,17.7,37.8,-0.78,0.28,6,22.12,13.4,34.93,-0.65,0.28,6,26.44,17.22,39.71,-0.87,0.25,7,21.15,13.4,31.1,-0.59,0.24,7,26.44,17.7,38.28,-0.52,0.24,7,28.23,16.67,40,-0.62,0.24,7,25.59,16.04,37.74,-0.91,0.24,7,19.34,10.8,27.23,-1.45,0.24,7,6.6,4.23,16.43,-1.46,0.22,8,7.58,5.66,16.04,-1.65,0.23,8,7.11,4.25,10.85,-1.58,0.2,8,7.77,6.76,9.66
EL SALVADOR,SLV,-0.3,0.37,4,35.58,19.62,55.02,-0.01,0.34,4,44.71,27.75,63.64,0.27,0.33,4,56.25,34.93,74.64,0.22,0.3,5,51.92,36.84,67.94,-0.2,0.29,5,37.02,26.32,55.5,-0.07,0.28,6,43.27,27.75,60.77,-0.03,0.28,6,45.19,29.67,59.33,-0.15,0.27,6,41.35,27.27,54.55,0,0.26,6,43.27,30.62,60.29,0.05,0.26,6,46.41,30.48,61.43,-0.02,0.26,6,43.6,30.66,59.43,0.06,0.26,6,49.06,33.8,63.85,0.11,0.25,7,50,38.03,63.85,0.22,0.22,8,53.55,40.57,64.62,-0.08,0.23,8,42.65,31.13,58.02,-0.15,0.2,8,40.29,29.47,54.11
EQUATORIAL GUINEA,GNQ,-0.24,0.4,3,38.94,19.62,58.85,-0.22,0.37,3,37.02,19.62,59.81,-0.18,0.37,3,37.5,23.44,63.16,-0.6,0.33,3,26.92,16.27,44.02,0.05,0.32,3,45.67,30.14,64.11,-0.11,0.34,3,41.35,24.4,61.72,-0.45,0.35,3,32.21,17.22,51.67,0.13,0.32,3,50.96,32.06,66.51,0.21,0.32,3,51.92,33.49,71.77,0.19,0.32,3,52.15,31.9,70.48,0.39,0.29,4,58.77,41.51,77.83,0.23,0.28,4,53.3,36.62,70.42,0.12,0.27,4,50.47,35.68,64.32,0.19,0.26,4,53.08,38.21,65.57,0.08,0.26,4,50.24,36.32,64.62,-0.39,0.23,4,30.58,20.29,45.89
ERITREA,ERI,-1.11,0.48,2,14.9,4.31,35.41,-1.12,0.44,2,14.42,5.74,31.1,-0.97,0.46,2,18.75,6.7,36.84,-0.41,0.45,2,29.81,16.27,57.42,-0.76,0.36,2,25,12.44,38.28,-0.6,0.34,3,25.48,14.83,43.54,-0.78,0.35,3,23.56,11.48,39.71,-0.9,0.29,4,19.71,11.96,31.1,-1.02,0.29,4,16.83,9.57,27.27,-0.71,0.29,4,22.01,13.81,36.19,-0.67,0.29,4,23.22,15.09,38.68,-0.87,0.28,4,20.28,10.33,31.92,-0.77,0.27,4,21.23,13.15,37.09,-0.72,0.26,4,22.75,15.09,37.26,-0.78,0.26,4,20.85,11.79,36.32,-0.76,0.23,4,20.39,10.63,30.92
ESTONIA,EST,0.68,0.4,3,68.75,46.89,96.65,0.56,0.34,4,63.94,45.93,86.6,0.79,0.33,4,73.08,55.5,95.22,0.84,0.28,6,77.4,58.37,95.22,0.86,0.28,6,76.92,57.89,96.65,0.66,0.28,7,69.71,53.59,86.6,0.59,0.27,7,65.38,52.15,81.82,0.71,0.24,8,67.31,54.55,87.08,0.6,0.24,8,67.79,52.15,82.78,0.54,0.24,8,65.07,50,79.05,0.53,0.24,8,64.45,49.53,81.13,0.6,0.24,8,67.92,52.58,83.1,0.58,0.24,9,64.62,54.93,78.87,0.6,0.22,9,64.93,54.25,78.77,0.73,0.22,9,68.25,58.96,86.32,0.76,0.2,9,72.33,60.39,87.44
ETHIOPIA,ETH,-1.1,0.37,4,15.87,6.7,29.67,-0.72,0.34,4,23.08,11.96,39.23,-1.01,0.33,4,17.31,8.61,31.1,-1.28,0.31,4,14.9,4.31,24.4,-1.43,0.29,5,9.62,4.78,21.05,-1.27,0.28,6,12.5,4.78,21.53,-1.66,0.28,6,5.77,1.91,14.35,-1.71,0.25,7,7.21,2.39,12.92,-1.76,0.24,7,7.21,3.35,10.05,-1.71,0.24,7,8.61,2.38,11.43,-1.62,0.24,7,7.58,3.77,13.21,-1.62,0.24,7,6.6,3.76,12.68,-1.5,0.24,8,6.13,4.23,15.49,-1.54,0.22,8,7.11,5.19,14.15,-1.38,0.23,8,8.06,6.13,17.92,-1.24,0.2,8,9.71,8.21,17.39
FIJI,FJI,0.75,0.48,2,70.67,44.5,100,0.77,0.44,2,72.6,47.37,99.52,0.21,0.46,2,54.33,28.71,78.95,0.37,0.45,2,58.17,32.06,85.17,0.43,0.36,2,59.13,38.28,84.21,0.37,0.34,3,59.62,38.76,78.95,0.4,0.35,3,58.17,41.15,79.43,-0.01,0.34,3,45.19,27.27,63.64,0.07,0.32,3,46.15,29.19,67.46,-0.05,0.32,3,42.58,26.67,61.43,-0.26,0.32,3,36.49,20.75,53.3,-0.15,0.33,3,40.09,24.88,57.28,-0.05,0.31,3,45.75,29.11,61.5,-0.04,0.29,3,42.65,29.72,60.38,-0.03,0.3,3,45.97,28.77,62.74,0.48,0.26,3,62.14,47.34,78.74
FINLAND,FIN,1.33,0.37,4,97.6,70.33,100,1.39,0.34,4,99.04,75.6,100,1.63,0.3,5,99.52,87.56,100,1.66,0.28,6,100,88.52,100,1.66,0.28,6,100,90.43,100,1.59,0.28,7,100,87.08,100,1.59,0.27,7,100,87.08,100,1.5,0.26,7,100,84.21,100,1.5,0.26,7,100,85.65,100,1.45,0.26,7,99.52,82.86,100,1.43,0.24,8,96.21,86.32,100,1.39,0.24,8,94.81,84.51,100,1.37,0.24,8,97.17,79.81,99.53,1.38,0.22,9,97.63,82.55,99.53,1.36,0.22,9,97.16,81.13,99.53,1.28,0.2,9,95.63,79.71,99.52
