country,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Year,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014
ARMENIA,-0.41,0.31,1.00,40.00,17.48,59.22,-0.54,0.25,3.00,31.71,15.05,50.97,-0.57,0.25,4.00,31.71,12.62,50.00,-0.17,0.23,5.00,49.76,33.50,62.14,-0.26,0.24,5.00,47.80,28.64,61.17,-0.14,0.24,6.00,52.20,33.98,66.02,-0.13,0.20,7.00,51.71,38.35,60.68,-0.21,0.17,10.00,47.32,36.41,56.31,-0.35,0.19,10.00,44.17,28.99,52.66,-0.16,0.19,10.00,49.51,38.16,59.42,-0.02,0.20,10.00,55.02,45.24,64.29,-0.17,0.20,10.00,49.28,38.57,60.48,-0.10,0.20,10.00,51.66,41.98,61.79,-0.04,0.19,11.00,55.02,42.86,61.43,0.07,0.18,11.00,58.37,45.24,65.71,-0.17,0.20,11.00,46.15,34.93,60.77
ARUBA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.19,0.42,1.00,87.32,70.39,92.72,1.25,0.32,1.00,87.80,73.79,95.63,1.25,0.41,1.00,87.32,70.87,97.57,1.24,0.47,1.00,85.92,69.08,97.58,1.27,0.45,1.00,86.41,70.05,98.07,1.47,0.32,2.00,89.00,77.62,98.10,1.23,0.33,2.00,85.65,72.38,95.71,1.22,0.32,2.00,84.83,72.17,95.28,1.23,0.31,2.00,85.17,72.38,94.76,1.21,0.29,2.00,84.69,71.90,94.76,0.86,0.35,2.00,75.00,63.64,89.00
AUSTRALIA,1.66,0.23,5.00,90.73,87.86,99.03,1.60,0.21,5.00,90.24,87.86,95.15,1.77,0.21,5.00,91.71,89.32,99.03,1.70,0.19,5.00,91.71,88.83,97.57,1.81,0.19,5.00,93.17,89.81,99.03,2.04,0.21,5.00,96.59,91.26,100.00,1.77,0.19,5.00,95.12,88.83,99.03,1.76,0.20,6.00,94.15,87.86,98.54,1.82,0.22,6.00,96.12,88.89,99.03,1.78,0.23,6.00,95.63,87.92,99.03,1.70,0.21,7.00,94.26,87.62,98.57,1.77,0.22,7.00,95.69,88.10,99.05,1.70,0.22,7.00,94.79,87.26,98.58,1.61,0.22,7.00,94.26,86.67,99.05,1.62,0.21,7.00,94.74,87.14,99.05,1.59,0.23,7.00,91.83,86.60,98.56
AUSTRIA,1.86,0.23,5.00,94.63,89.81,100.00,1.88,0.21,5.00,93.66,89.32,100.00,1.95,0.21,5.00,95.61,89.32,100.00,1.97,0.19,5.00,96.10,90.78,100.00,2.02,0.19,5.00,97.56,91.75,100.00,1.91,0.21,5.00,93.66,90.78,99.51,1.72,0.19,5.00,92.68,88.83,99.03,1.82,0.20,6.00,95.61,88.35,99.03,1.87,0.22,6.00,96.60,90.34,99.03,1.77,0.23,6.00,94.66,87.92,99.03,1.67,0.21,7.00,93.78,87.14,98.10,1.84,0.22,7.00,97.13,89.05,99.05,1.61,0.22,7.00,93.36,85.38,98.58,1.56,0.22,7.00,92.82,84.29,98.10,1.57,0.21,7.00,92.82,84.76,98.57,1.57,0.23,7.00,91.35,86.60,98.56
AZERBAIJAN,-0.94,0.27,2.00,16.59,5.83,33.98,-0.97,0.21,4.00,14.63,6.31,28.16,-0.98,0.18,6.00,13.17,6.80,26.70,-0.95,0.17,7.00,15.12,8.74,28.16,-0.80,0.16,7.00,21.46,12.14,34.47,-0.75,0.17,8.00,21.95,11.65,38.35,-0.68,0.17,9.00,28.78,16.99,40.29,-0.68,0.17,10.00,28.29,17.96,41.26,-0.77,0.19,10.00,23.30,14.98,39.61,-0.76,0.20,9.00,22.33,13.04,40.58,-0.63,0.20,10.00,31.10,17.14,46.19,-0.79,0.20,10.00,23.92,12.38,39.52,-0.76,0.20,10.00,25.12,13.68,41.98,-0.78,0.19,10.00,24.40,14.76,39.52,-0.45,0.19,10.00,38.28,24.29,48.57,-0.34,0.20,10.00,42.31,26.32,55.50
"BAHAMAS, THE",1.34,0.29,2.00,88.29,78.64,93.20,1.28,0.28,2.00,88.29,78.16,91.75,1.25,0.31,2.00,87.80,77.67,91.26,1.26,0.28,2.00,87.32,76.21,91.75,1.19,0.31,2.00,85.37,73.30,91.75,1.14,0.34,2.00,85.37,72.33,91.26,1.17,0.28,2.00,84.39,72.82,91.26,1.14,0.33,2.00,83.90,71.84,92.72,1.11,0.35,2.00,83.01,71.50,93.72,1.15,0.35,2.00,83.01,71.50,94.20,0.99,0.28,3.00,78.95,70.00,88.10,1.07,0.27,4.00,81.82,70.00,90.00,0.96,0.27,4.00,78.67,68.40,87.74,0.97,0.26,4.00,78.95,69.05,88.57,0.86,0.26,3.00,74.64,66.67,87.14,0.72,0.31,3.00,74.04,61.72,86.60
BAHRAIN,0.63,0.25,3.00,72.68,61.17,83.50,0.56,0.22,3.00,73.66,61.17,81.55,0.55,0.24,3.00,71.71,60.68,80.58,0.53,0.19,5.00,70.24,62.14,78.64,0.46,0.21,4.00,67.80,61.17,77.67,0.59,0.20,5.00,72.68,66.50,79.61,0.40,0.19,5.00,64.88,58.25,72.33,0.40,0.20,5.00,66.34,56.31,76.21,0.42,0.23,5.00,66.50,54.59,77.78,0.41,0.23,5.00,66.50,56.52,77.29,0.50,0.22,7.00,69.38,59.05,75.71,0.48,0.22,7.00,67.94,59.05,76.67,0.55,0.22,7.00,68.72,60.85,77.36,0.54,0.22,7.00,69.38,60.48,76.19,0.58,0.21,7.00,69.86,61.43,77.62,0.59,0.23,7.00,72.60,61.72,77.99
BANGLADESH,-0.73,0.25,3.00,24.39,12.14,43.69,-0.43,0.21,4.00,39.02,21.84,54.37,-0.56,0.17,6.00,32.20,17.96,44.66,-0.70,0.16,7.00,27.32,14.56,37.86,-0.71,0.15,7.00,26.34,16.02,37.38,-0.78,0.16,8.00,20.98,11.65,35.44,-0.86,0.17,8.00,21.46,12.14,33.98,-0.77,0.17,10.00,26.34,14.08,36.41,-0.68,0.18,10.00,27.67,16.43,43.48,-0.71,0.19,10.00,28.16,14.98,41.55,-0.79,0.19,10.00,23.44,11.43,40.48,-0.75,0.19,10.00,25.84,13.81,40.48,-0.76,0.19,10.00,24.64,14.15,41.04,-0.83,0.19,10.00,22.49,12.86,37.14,-0.82,0.18,10.00,22.49,13.81,36.67,-0.77,0.20,10.00,21.63,14.83,36.84
BARBADOS,1.44,0.31,1.00,89.76,81.07,97.09,1.43,0.34,1.00,89.27,79.13,96.12,1.41,0.37,1.00,89.27,79.13,97.57,1.37,0.32,1.00,88.78,78.64,94.66,1.30,0.38,1.00,89.27,73.30,95.63,1.09,0.38,2.00,82.93,69.42,91.26,1.26,0.31,2.00,88.29,74.27,95.15,1.48,0.27,2.00,88.29,81.55,97.09,1.34,0.34,2.00,87.86,77.78,97.10,1.60,0.34,2.00,91.75,81.16,99.03,1.51,0.27,3.00,90.91,81.90,97.62,1.41,0.29,3.00,88.52,78.57,97.62,1.46,0.28,3.00,89.10,80.66,98.11,1.45,0.27,3.00,89.47,80.48,98.10,1.34,0.26,3.00,88.04,77.62,96.19,1.23,0.29,3.00,87.02,74.16,94.26
BELARUS,-0.41,0.31,1.00,40.00,17.48,59.22,-0.68,0.25,3.00,25.37,11.17,46.60,-0.65,0.25,4.00,28.29,11.65,46.60,-0.96,0.23,5.00,14.15,6.80,32.04,-0.99,0.24,5.00,14.15,5.34,32.52,-1.08,0.24,5.00,10.24,5.34,26.21,-1.10,0.23,5.00,12.20,4.37,27.18,-1.17,0.23,7.00,9.76,3.88,23.79,-1.13,0.23,7.00,12.62,3.86,24.15,-1.12,0.23,7.00,12.14,3.38,24.64,-1.15,0.23,7.00,10.53,2.86,25.24,-1.14,0.23,7.00,11.00,3.81,25.24,-1.10,0.23,7.00,13.27,4.72,26.89,-0.94,0.22,8.00,17.70,8.10,31.90,-0.94,0.22,8.00,17.70,9.52,32.38,-0.50,0.24,8.00,35.10,17.70,49.76
