country,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Year,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014
ESTONIA,0.57,0.27,2.00,70.73,60.19,83.50,0.53,0.21,4.00,71.71,60.68,79.13,0.72,0.20,6.00,76.59,67.96,82.04,0.72,0.17,8.00,74.63,68.45,81.55,0.93,0.17,8.00,79.02,72.33,85.92,0.97,0.18,8.00,80.49,74.76,87.86,0.99,0.17,8.00,81.46,72.33,88.35,1.15,0.19,9.00,84.39,76.70,87.86,1.04,0.19,10.00,82.52,76.81,87.92,1.16,0.20,10.00,83.98,77.29,88.41,1.03,0.21,9.00,81.82,72.86,87.62,1.11,0.21,9.00,82.30,75.24,89.05,1.10,0.21,9.00,82.46,74.06,88.21,0.96,0.21,9.00,77.99,70.95,87.14,0.98,0.20,9.00,78.47,70.48,87.14,1.05,0.22,9.00,81.25,73.21,89.00
ETHIOPIA,-1.28,0.25,3.00,6.34,3.40,18.93,-0.94,0.20,5.00,15.12,7.28,29.13,-0.91,0.21,5.00,15.61,7.28,31.55,-0.93,0.19,6.00,16.10,8.74,30.58,-0.87,0.17,7.00,19.02,10.19,32.52,-0.73,0.17,8.00,22.93,13.11,38.83,-0.88,0.17,8.00,19.51,11.65,32.52,-0.57,0.17,10.00,33.17,20.39,45.15,-0.39,0.19,10.00,41.75,26.57,52.17,-0.37,0.18,10.00,42.23,28.99,52.66,-0.49,0.18,10.00,39.23,23.81,49.05,-0.42,0.19,10.00,42.11,28.10,50.48,-0.47,0.18,10.00,39.81,24.06,48.11,-0.44,0.18,10.00,40.19,26.67,50.00,-0.57,0.17,11.00,33.01,22.38,44.76,-0.47,0.18,11.00,35.58,22.01,45.93
FIJI,-0.14,0.31,1.00,52.20,28.16,65.05,-0.34,0.29,2.00,43.41,20.39,59.22,-0.54,0.29,2.00,34.15,12.14,53.88,0.06,0.28,2.00,59.51,40.78,69.42,-0.22,0.31,2.00,48.78,25.24,65.05,-0.43,0.31,2.00,41.95,14.56,62.14,-0.11,0.28,2.00,52.20,34.47,64.08,-0.13,0.33,2.00,52.20,28.16,66.99,-0.45,0.35,2.00,39.81,16.43,57.00,-0.76,0.34,2.00,23.79,6.28,46.86,-0.91,0.31,3.00,19.62,5.71,42.86,-0.73,0.31,3.00,27.27,9.05,46.67,-0.71,0.31,3.00,27.01,8.96,47.64,-0.90,0.29,3.00,20.10,7.14,40.48,-0.96,0.27,3.00,17.22,7.62,36.67,-0.37,0.31,3.00,41.35,17.70,59.81
FINLAND,1.84,0.23,5.00,94.15,89.81,100.00,2.05,0.21,5.00,99.02,91.75,100.00,2.13,0.21,5.00,99.51,92.72,100.00,2.17,0.19,5.00,100.00,93.69,100.00,2.26,0.19,5.00,100.00,95.63,100.00,2.21,0.21,5.00,99.02,92.72,100.00,2.16,0.19,5.00,100.00,95.63,100.00,2.13,0.20,6.00,99.02,95.15,100.00,1.97,0.22,6.00,97.57,91.30,99.03,2.04,0.23,6.00,99.03,93.24,99.52,2.24,0.21,7.00,99.52,97.62,100.00,2.25,0.22,7.00,99.52,97.62,100.00,2.26,0.22,7.00,100.00,98.11,100.00,2.21,0.22,7.00,100.00,97.14,100.00,2.17,0.21,7.00,100.00,97.62,100.00,2.02,0.23,7.00,99.04,92.82,100.00
FRANCE,1.42,0.23,5.00,88.78,83.50,92.23,1.58,0.21,5.00,89.76,87.86,94.17,1.72,0.21,5.00,91.22,88.35,98.54,1.60,0.19,5.00,89.76,87.38,94.66,1.72,0.19,5.00,92.20,89.81,98.06,1.81,0.21,5.00,92.68,89.81,98.54,1.71,0.19,5.00,92.20,88.83,99.03,1.59,0.20,7.00,90.24,87.38,97.09,1.48,0.21,7.00,89.32,83.57,96.14,1.58,0.22,7.00,91.26,85.02,98.07,1.49,0.21,7.00,89.47,82.38,97.14,1.45,0.22,7.00,89.00,81.90,96.67,1.37,0.22,7.00,87.68,80.66,94.81,1.33,0.22,7.00,87.56,79.05,94.76,1.47,0.21,7.00,89.47,81.90,97.62,1.40,0.23,7.00,88.94,80.86,95.22
FRENCH GUIANA,0.91,0.31,1.00,80.98,66.50,88.83,0.91,0.34,1.00,80.49,66.99,89.32,0.88,0.37,1.00,80.00,64.08,89.32,0.83,0.32,1.00,78.54,64.08,87.86,0.78,0.38,1.00,77.07,61.17,89.81,0.58,0.42,1.00,72.20,53.88,87.86,0.72,0.32,1.00,73.66,62.14,85.44,0.73,0.41,1.00,74.63,56.31,87.86,0.72,0.47,1.00,76.21,52.66,89.37,0.75,0.45,1.00,76.70,56.04,88.41,1.17,0.32,2.00,83.73,72.38,93.81,1.18,0.33,2.00,83.25,70.95,94.29,1.16,0.32,2.00,83.41,71.70,94.34,1.11,0.31,2.00,82.78,70.48,94.29,1.07,0.29,2.00,80.86,70.00,92.38,1.09,0.35,2.00,82.21,71.77,93.30
GABON,-0.34,0.25,3.00,42.93,23.30,59.22,-0.59,0.20,5.00,29.76,16.02,46.60,-0.63,0.21,5.00,29.27,13.59,44.17,-0.39,0.20,5.00,40.98,26.70,53.88,-0.48,0.20,5.00,35.61,21.36,53.40,-0.80,0.19,6.00,20.49,9.22,36.89,-0.84,0.20,6.00,22.44,11.65,37.38,-0.85,0.21,7.00,20.49,8.74,36.41,-0.84,0.21,7.00,20.87,11.59,37.20,-0.83,0.20,7.00,20.39,10.63,37.68,-0.75,0.20,7.00,25.36,11.43,42.86,-0.78,0.21,7.00,24.40,12.38,40.00,-0.80,0.20,7.00,22.27,11.79,40.09,-0.78,0.20,8.00,24.88,14.29,39.52,-0.70,0.18,9.00,27.75,16.19,41.43,-0.66,0.20,9.00,26.44,16.27,42.11
"GAMBIA, THE",-0.61,0.29,2.00,29.76,12.62,52.91,-0.48,0.24,4.00,34.63,17.48,54.37,-0.50,0.25,4.00,36.59,16.02,52.91,-0.67,0.24,4.00,27.80,11.65,46.60,-0.47,0.22,5.00,36.10,19.90,53.88,-0.50,0.20,6.00,36.10,19.42,50.49,-0.67,0.19,6.00,30.24,15.53,43.69,-0.71,0.18,7.00,27.32,15.53,40.78,-0.59,0.20,7.00,31.07,16.43,46.38,-0.72,0.19,7.00,26.21,14.49,41.55,-0.63,0.20,7.00,31.58,17.62,46.19,-0.66,0.20,7.00,30.14,16.19,43.33,-0.61,0.20,7.00,31.75,17.45,45.75,-0.51,0.20,7.00,36.84,21.43,47.14,-0.69,0.18,8.00,29.19,16.19,41.90,-0.61,0.19,8.00,28.37,17.22,43.54
GEORGIA,-0.67,0.31,1.00,27.80,11.65,50.49,-0.64,0.29,2.00,27.32,10.68,50.00,-0.73,0.29,3.00,25.37,9.22,45.63,-0.88,0.25,4.00,19.51,7.77,36.41,-0.50,0.27,4.00,35.12,16.99,55.34,-0.49,0.22,6.00,36.59,19.42,53.88,-0.42,0.21,6.00,39.51,25.73,55.34,-0.18,0.20,8.00,50.24,36.41,59.22,0.11,0.20,9.00,56.31,46.86,66.67,0.30,0.21,9.00,65.53,53.62,73.43,0.28,0.21,9.00,62.20,51.90,71.90,0.29,0.21,9.00,64.11,51.43,71.43,0.55,0.21,9.00,69.19,60.85,77.36,0.57,0.20,10.00,69.86,60.95,76.19,0.53,0.19,10.00,69.38,61.43,73.81,0.48,0.21,10.00,71.63,60.29,74.64
GERMANY,1.84,0.23,5.00,93.66,89.81,100.00,1.93,0.21,5.00,95.12,89.81,100.00,1.91,0.21,5.00,94.15,89.32,100.00,1.72,0.19,5.00,92.20,88.83,99.03,1.40,0.19,5.00,89.76,83.01,91.75,1.53,0.21,5.00,90.24,87.38,92.72,1.54,0.19,5.00,90.73,85.44,96.12,1.62,0.20,7.00,92.20,87.38,98.06,1.63,0.21,7.00,92.23,87.44,97.58,1.52,0.22,7.00,89.81,84.06,97.58,1.59,0.21,7.00,92.34,85.24,97.62,1.57,0.22,7.00,92.34,84.29,98.10,1.55,0.22,7.00,91.47,83.49,98.11,1.57,0.22,7.00,93.30,84.29,98.10,1.52,0.21,7.00,91.39,83.33,98.10,1.73,0.23,7.00,94.71,87.56,99.04
GHANA,-0.11,0.25,3.00,53.17,32.52,63.11,-0.14,0.20,5.00,50.24,34.95,61.17,0.02,0.21,5.00,57.56,43.69,66.99,-0.13,0.19,7.00,52.20,37.86,61.65,-0.19,0.17,8.00,52.20,35.92,60.68,-0.16,0.17,9.00,51.71,41.75,62.62,-0.16,0.17,9.00,50.73,39.32,58.74,0.11,0.19,10.00,58.54,48.54,66.99,0.08,0.20,10.00,55.34,46.38,66.18,0.02,0.18,11.00,56.31,45.89,66.18,-0.04,0.18,11.00,53.59,45.71,61.90,-0.04,0.18,11.00,54.07,43.33,63.33,-0.05,0.18,11.00,53.55,43.87,62.26,-0.07,0.18,11.00,52.15,42.86,60.95,-0.13,0.17,12.00,49.28,41.43,59.05,-0.27,0.18,12.00,44.23,30.62,56.46
GREECE,0.82,0.23,5.00,77.56,67.48,86.41,0.75,0.21,5.00,77.07,68.45,83.98,0.65,0.21,5.00,75.12,65.05,81.55,0.77,0.19,5.00,75.61,68.45,83.50,0.75,0.19,5.00,75.12,67.48,82.52,0.83,0.21,5.00,77.56,71.36,86.41,0.72,0.19,5.00,72.68,65.05,82.52,0.68,0.20,7.00,72.68,65.05,81.55,0.57,0.21,7.00,71.84,62.32,78.74,0.59,0.22,7.00,71.84,62.32,79.23,0.61,0.21,7.00,71.77,61.90,78.10,0.55,0.22,7.00,69.38,61.43,78.57,0.50,0.22,7.00,68.25,60.38,76.89,0.31,0.22,7.00,62.20,53.33,71.43,0.45,0.21,7.00,66.99,58.57,73.33,0.40,0.23,7.00,68.75,55.98,74.16
GREENLAND,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.99,0.45,1.00,78.47,61.90,94.29,0.98,0.45,1.00,78.95,62.86,94.29,0.98,0.44,1.00,79.15,62.26,94.81,0.97,0.45,1.00,78.47,60.95,94.76,0.91,0.44,1.00,77.51,60.00,94.76,0.89,0.48,1.00,75.96,58.37,94.26
GRENADA,0.65,0.31,1.00,75.61,59.71,84.95,0.33,0.29,2.00,64.88,50.00,78.16,0.35,0.29,2.00,66.34,51.46,79.13,0.36,0.28,2.00,66.34,53.40,77.18,0.19,0.31,2.00,61.95,44.17,74.27,0.09,0.30,3.00,61.95,42.72,71.84,0.28,0.28,3.00,62.93,49.03,73.79,0.24,0.31,3.00,62.93,45.63,76.21,0.22,0.35,2.00,63.11,43.96,77.78,0.23,0.34,2.00,62.62,45.41,77.29,0.20,0.31,3.00,60.77,46.19,73.33,0.17,0.31,3.00,60.77,43.33,72.38,0.23,0.31,3.00,62.09,45.75,73.11,0.31,0.32,2.00,61.72,46.67,74.76,0.27,0.31,2.00,61.72,45.24,73.33,-0.12,0.35,2.00,49.04,24.88,70.81
GUAM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.26,0.42,1.00,66.34,41.75,80.10,0.19,0.32,1.00,61.95,44.17,72.33,0.20,0.41,1.00,62.44,37.38,77.67,0.20,0.47,1.00,61.17,31.88,80.19,0.22,0.45,1.00,62.14,37.20,79.23,-0.03,0.42,1.00,54.55,27.14,72.38,-0.03,0.44,1.00,54.55,25.71,72.38,-0.03,0.42,1.00,54.03,26.89,71.70,-0.04,0.39,1.00,54.07,29.05,70.48,-0.04,0.37,1.00,53.59,30.95,69.52,0.42,0.46,1.00,70.19,42.11,85.65
GUATEMALA,-0.50,0.24,5.00,34.15,17.96,53.40,-0.42,0.21,4.00,40.00,22.33,54.37,-0.53,0.20,5.00,35.61,17.96,47.09,-0.49,0.18,7.00,35.12,25.73,48.54,-0.45,0.17,7.00,38.54,25.24,53.40,-0.64,0.18,8.00,26.83,14.56,46.60,-0.70,0.17,8.00,27.80,15.53,40.29,-0.59,0.18,10.00,30.73,20.39,45.15,-0.55,0.20,10.00,33.98,16.91,46.86,-0.56,0.20,10.00,35.44,17.39,46.86,-0.69,0.19,10.00,28.23,14.76,43.81,-0.70,0.20,10.00,28.71,14.76,42.86,-0.70,0.20,10.00,27.96,15.09,42.92,-0.76,0.19,10.00,25.84,15.24,39.52,-0.71,0.19,10.00,27.27,15.71,41.43,-0.71,0.20,10.00,24.52,16.27,40.19
GUINEA,-1.24,0.29,2.00,8.29,3.40,23.30,-0.80,0.24,4.00,21.46,9.22,40.78,-0.83,0.25,4.00,19.51,8.25,40.29,-0.95,0.22,5.00,14.63,6.80,32.04,-0.76,0.23,5.00,22.93,10.19,40.78,-0.88,0.21,6.00,16.59,7.77,33.98,-1.06,0.21,6.00,14.63,4.85,27.67,-1.34,0.20,7.00,6.34,1.94,15.53,-1.27,0.21,7.00,7.28,2.42,16.43,-1.17,0.20,8.00,10.19,3.38,20.29,-1.03,0.20,8.00,13.40,7.14,28.10,-1.13,0.20,8.00,11.48,4.29,23.81,-1.15,0.20,9.00,11.37,4.72,21.23,-1.28,0.18,11.00,8.61,3.33,17.14,-1.23,0.17,12.00,10.53,5.24,17.62,-1.21,0.18,12.00,11.06,5.74,17.70
GUINEA-BISSAU,-1.47,0.29,2.00,4.39,1.46,15.05,-1.31,0.24,4.00,6.34,2.91,16.02,-1.06,0.25,4.00,11.71,3.40,27.67,-1.15,0.24,4.00,9.76,4.37,26.21,-1.31,0.25,4.00,6.34,1.46,17.48,-1.49,0.23,5.00,4.88,0.49,9.22,-1.38,0.23,5.00,5.37,0.49,15.05,-1.13,0.24,5.00,11.71,3.88,26.70,-1.12,0.25,5.00,13.11,3.38,26.57,-1.06,0.24,5.00,14.08,4.83,28.99,-1.03,0.24,5.00,13.88,5.71,30.95,-1.04,0.24,5.00,13.88,5.24,30.48,-1.04,0.24,5.00,14.69,5.19,28.77,-1.24,0.23,5.00,9.57,2.38,21.43,-1.50,0.21,6.00,5.26,0.95,12.86,-1.55,0.23,6.00,4.81,1.44,12.44
GUYANA,-0.39,0.29,2.00,40.98,18.93,59.22,-0.05,0.25,3.00,55.12,34.95,67.48,-0.19,0.26,3.00,47.80,30.10,62.14,-0.27,0.25,3.00,46.34,27.67,61.65,-0.18,0.27,3.00,53.17,30.58,64.56,-0.19,0.26,4.00,49.76,30.58,65.53,-0.48,0.21,5.00,37.56,23.30,51.46,-0.21,0.19,6.00,47.80,34.95,57.77,-0.04,0.21,7.00,52.91,42.03,64.25,-0.17,0.22,6.00,48.54,36.71,60.39,-0.17,0.21,7.00,49.28,38.10,60.48,-0.12,0.21,7.00,50.24,39.52,62.86,-0.10,0.21,7.00,53.08,41.04,62.26,-0.14,0.21,7.00,49.76,38.57,60.48,-0.16,0.20,7.00,48.33,36.67,60.00,-0.22,0.22,7.00,44.71,30.14,59.33
HAITI,-1.21,0.29,2.00,9.27,3.88,23.30,-1.33,0.25,3.00,5.85,2.91,16.99,-1.46,0.26,3.00,3.90,1.94,12.14,-1.63,0.21,5.00,2.44,0.49,7.77,-1.55,0.21,5.00,3.41,1.46,9.22,-1.68,0.24,5.00,0.98,0.49,6.80,-1.38,0.23,5.00,5.85,0.49,15.53,-1.33,0.23,6.00,6.83,1.46,17.96,-1.32,0.23,6.00,6.31,1.93,16.43,-1.29,0.22,7.00,7.28,2.42,16.91,-1.51,0.21,8.00,3.35,0.48,10.48,-1.63,0.21,8.00,2.87,0.48,7.14,-1.65,0.20,9.00,2.37,0.47,8.02,-1.63,0.19,9.00,2.39,0.48,8.10,-1.53,0.19,9.00,3.83,0.95,10.95,-2.03,0.20,9.00,0.96,0.48,1.91
HONDURAS,-0.86,0.24,5.00,19.51,6.80,34.95,-0.56,0.21,4.00,31.22,17.48,47.57,-0.54,0.20,5.00,33.66,16.99,46.60,-0.63,0.18,7.00,29.76,17.48,44.17,-0.58,0.17,7.00,32.68,18.93,45.15,-0.56,0.18,8.00,32.20,18.93,48.06,-0.64,0.17,8.00,30.73,17.96,43.20,-0.61,0.18,9.00,29.76,19.42,45.15,-0.55,0.20,9.00,33.01,16.91,46.86,-0.62,0.20,9.00,31.55,15.94,45.89,-0.67,0.19,10.00,29.19,14.76,45.24,-0.64,0.20,10.00,31.10,16.67,43.33,-0.55,0.20,10.00,36.49,19.34,47.64,-0.72,0.19,10.00,26.79,15.24,41.43,-0.74,0.19,10.00,25.84,14.76,40.00,-0.80,0.20,10.00,20.67,14.35,36.84
"HONG KONG SAR, CHINA",1.22,0.23,5.00,86.83,78.64,89.81,1.17,0.21,5.00,86.83,78.16,89.32,1.30,0.21,5.00,88.29,80.58,89.81,1.42,0.19,5.00,89.27,83.98,92.23,1.66,0.19,5.00,91.71,89.32,96.60,1.79,0.21,5.00,91.71,89.81,98.06,1.63,0.19,5.00,91.71,88.35,97.57,1.90,0.20,7.00,97.07,89.81,99.51,1.87,0.21,7.00,97.09,90.34,99.03,1.85,0.22,7.00,97.57,88.41,99.03,1.74,0.21,7.00,94.74,87.62,98.57,1.70,0.22,7.00,93.78,87.14,98.57,1.67,0.22,7.00,94.31,86.32,98.58,1.82,0.22,7.00,97.13,89.52,99.52,1.73,0.21,7.00,95.69,88.57,99.52,1.84,0.23,7.00,98.08,89.95,100.00
HUNGARY,0.84,0.23,5.00,78.54,67.48,86.41,0.94,0.19,6.00,81.95,75.24,87.86,0.96,0.19,7.00,80.98,75.24,87.86,1.02,0.17,8.00,81.95,75.24,87.38,0.96,0.17,8.00,80.00,73.30,86.89,0.90,0.18,8.00,78.54,72.82,87.38,0.80,0.17,8.00,75.12,69.42,83.01,0.88,0.18,10.00,77.56,71.84,84.95,0.72,0.19,10.00,76.70,66.18,82.13,0.71,0.20,10.00,75.24,66.18,81.16,0.68,0.19,10.00,72.73,64.76,79.05,0.67,0.21,9.00,72.25,64.76,80.48,0.68,0.21,9.00,72.04,64.15,80.66,0.62,0.21,9.00,70.81,61.43,77.62,0.64,0.20,9.00,70.33,62.38,78.10,0.53,0.22,9.00,72.12,60.77,75.60
ICELAND,1.80,0.26,4.00,92.68,88.35,100.00,1.91,0.25,4.00,94.15,89.32,100.00,2.03,0.24,4.00,98.05,89.32,100.00,2.01,0.23,4.00,97.56,90.29,100.00,2.12,0.24,4.00,99.02,92.23,100.00,2.12,0.25,4.00,98.05,91.26,100.00,1.99,0.22,4.00,98.54,91.75,100.00,1.87,0.20,5.00,96.59,89.32,99.51,1.78,0.22,5.00,95.63,87.92,99.03,1.81,0.23,5.00,96.60,87.92,99.03,1.65,0.24,5.00,93.30,86.19,98.57,1.59,0.23,6.00,93.30,84.29,98.10,1.58,0.23,6.00,92.89,83.49,98.11,1.49,0.22,7.00,89.95,82.86,97.14,1.48,0.21,7.00,90.43,82.38,97.62,1.50,0.23,7.00,90.87,82.30,98.09
INDIA,-0.08,0.23,5.00,53.66,34.95,63.11,-0.09,0.19,6.00,54.15,40.78,62.14,-0.14,0.19,6.00,51.22,38.35,61.17,-0.13,0.17,7.00,51.71,38.83,61.65,-0.07,0.17,7.00,55.12,41.75,62.14,-0.10,0.18,8.00,55.12,43.69,64.08,-0.08,0.17,8.00,55.12,42.23,62.14,-0.05,0.18,10.00,54.15,44.17,63.59,0.11,0.19,10.00,56.80,50.24,66.18,-0.03,0.19,10.00,54.37,44.93,64.25,-0.01,0.19,10.00,55.98,46.19,64.29,0.02,0.19,10.00,56.46,44.29,65.24,-0.01,0.19,10.00,54.98,44.34,63.68,-0.18,0.19,10.00,47.37,38.57,59.05,-0.19,0.18,10.00,47.37,37.14,58.57,-0.20,0.19,10.00,45.19,32.54,58.85
INDONESIA,-0.42,0.23,5.00,37.07,23.30,55.34,-0.60,0.19,6.00,29.27,16.99,46.12,-0.27,0.17,7.00,44.88,32.52,56.31,-0.43,0.16,8.00,38.05,27.67,50.97,-0.45,0.15,8.00,37.56,26.70,49.51,-0.38,0.16,9.00,44.39,29.13,53.88,-0.44,0.17,9.00,38.54,27.18,49.03,-0.34,0.16,11.00,43.90,30.10,53.40,-0.28,0.18,11.00,46.12,31.88,54.59,-0.24,0.19,10.00,46.60,35.75,57.49,-0.28,0.19,10.00,46.89,34.76,57.14,-0.20,0.19,10.00,47.85,37.62,59.05,-0.25,0.19,10.00,46.45,36.32,56.60,-0.29,0.19,10.00,44.02,31.43,57.14,-0.24,0.18,10.00,45.45,35.71,58.10,-0.01,0.19,10.00,54.81,42.58,64.59
"IRAN, ISLAMIC REP.",-0.56,0.25,3.00,32.20,15.53,50.49,-0.46,0.22,3.00,35.12,18.93,54.37,-0.45,0.24,3.00,38.05,17.96,53.88,-0.52,0.19,5.00,33.66,22.33,48.54,-0.46,0.19,5.00,37.07,22.82,53.40,-0.45,0.20,6.00,40.00,21.36,53.88,-0.62,0.20,6.00,32.20,16.99,45.15,-0.57,0.21,8.00,32.68,18.93,47.09,-0.59,0.22,7.00,30.58,16.43,46.86,-0.61,0.22,7.00,33.01,15.46,46.38,-0.57,0.22,7.00,36.36,18.10,49.05,-0.48,0.22,7.00,39.23,21.90,50.48,-0.44,0.22,7.00,41.23,22.64,53.30,-0.54,0.22,7.00,35.41,20.48,47.14,-0.70,0.21,7.00,28.23,14.76,43.33,-0.41,0.23,7.00,37.98,21.05,53.11
IRAQ,-1.95,0.25,3.00,0.98,0.00,3.88,-1.87,0.22,3.00,2.44,0.49,3.88,-1.87,0.24,3.00,1.95,0.97,3.40,-1.88,0.20,4.00,0.98,0.00,4.37,-1.66,0.21,4.00,1.46,0.97,5.83,-1.61,0.23,4.00,1.95,0.49,7.77,-1.66,0.21,4.00,0.98,0.49,8.25,-1.77,0.25,4.00,0.49,0.49,6.31,-1.59,0.25,4.00,2.91,0.97,12.08,-1.26,0.26,5.00,8.74,1.45,20.29,-1.20,0.25,6.00,9.09,2.86,21.43,-1.22,0.22,7.00,9.09,3.33,21.43,-1.15,0.22,7.00,10.43,4.72,22.64,-1.11,0.21,8.00,13.40,6.67,25.24,-1.08,0.20,8.00,13.88,7.62,24.76,-1.13,0.22,8.00,13.94,5.74,22.01
IRELAND,1.71,0.23,5.00,91.71,87.86,99.51,1.78,0.21,5.00,92.20,89.32,99.51,1.67,0.21,5.00,90.24,88.35,97.57,1.63,0.19,5.00,90.24,87.86,95.15,1.58,0.19,5.00,90.73,87.38,94.17,1.56,0.21,5.00,90.73,87.86,93.20,1.73,0.19,5.00,93.17,88.83,99.03,1.59,0.20,7.00,90.73,87.38,97.09,1.57,0.21,7.00,90.78,83.57,97.10,1.49,0.22,7.00,88.83,82.13,97.58,1.34,0.21,7.00,87.56,78.10,93.81,1.34,0.22,7.00,87.56,78.57,93.81,1.45,0.22,7.00,88.63,82.08,96.70,1.53,0.22,7.00,92.34,83.81,97.62,1.46,0.21,7.00,89.00,81.90,97.62,1.60,0.23,7.00,92.31,86.60,98.56
ISRAEL,0.97,0.23,5.00,82.44,71.36,88.35,1.13,0.21,5.00,84.88,78.16,89.32,1.15,0.21,5.00,86.34,79.13,89.32,1.12,0.19,5.00,85.37,76.21,89.32,1.25,0.19,5.00,87.32,78.64,89.81,1.31,0.21,5.00,88.29,81.55,91.26,1.08,0.19,5.00,83.41,74.27,88.83,1.25,0.20,7.00,85.85,79.61,89.81,1.24,0.21,7.00,86.41,77.78,91.30,1.33,0.22,7.00,87.38,79.23,94.20,1.26,0.21,7.00,86.12,77.14,92.86,1.37,0.22,7.00,88.04,79.52,94.76,1.33,0.22,7.00,87.20,78.77,94.34,1.25,0.22,7.00,86.12,76.19,93.81,1.22,0.21,7.00,85.17,74.76,92.86,1.16,0.23,7.00,85.58,74.16,90.91
ITALY,0.82,0.23,5.00,78.05,67.48,86.41,0.87,0.21,5.00,79.02,71.84,87.38,0.77,0.21,5.00,78.54,68.45,84.47,0.80,0.19,5.00,76.10,68.45,84.95,0.80,0.19,5.00,77.56,68.93,83.98,0.67,0.21,5.00,75.12,66.50,81.55,0.58,0.19,5.00,69.76,62.62,77.18,0.39,0.20,7.00,65.37,56.31,73.30,0.21,0.21,7.00,62.14,51.21,71.50,0.29,0.22,7.00,64.56,52.66,73.43,0.42,0.21,7.00,66.51,57.62,75.71,0.45,0.22,7.00,66.99,57.14,75.71,0.38,0.22,7.00,65.88,55.19,74.06,0.41,0.22,7.00,66.03,57.62,73.33,0.45,0.21,7.00,67.46,58.57,73.33,0.38,0.23,7.00,66.83,55.98,74.16
JAMAICA,0.16,0.25,3.00,60.49,47.09,70.39,0.18,0.21,4.00,60.49,50.00,71.36,0.01,0.20,5.00,56.59,43.69,66.02,-0.02,0.18,6.00,57.07,44.66,63.11,0.06,0.18,6.00,60.49,48.54,65.05,0.21,0.18,7.00,64.88,55.83,71.36,-0.08,0.18,7.00,54.63,41.75,62.14,0.27,0.19,8.00,64.88,54.85,70.87,0.30,0.21,7.00,63.59,52.66,72.95,0.29,0.21,7.00,65.05,52.66,73.43,0.21,0.20,8.00,61.24,50.48,70.00,0.20,0.21,8.00,62.68,50.00,69.05,0.22,0.20,8.00,61.61,50.00,68.87,-0.02,0.19,9.00,55.50,43.33,61.43,-0.02,0.19,9.00,55.02,43.81,61.90,0.14,0.20,9.00,60.10,45.45,70.81
JAPAN,0.96,0.23,5.00,81.46,71.36,87.86,1.07,0.21,5.00,83.41,76.21,88.35,1.19,0.21,5.00,87.32,79.13,89.32,1.07,0.19,5.00,83.41,75.24,88.83,1.22,0.19,5.00,86.34,78.16,89.81,1.42,0.21,5.00,89.76,82.52,91.26,1.35,0.19,5.00,88.78,82.52,91.75,1.56,0.20,7.00,89.76,85.44,96.60,1.45,0.21,7.00,88.83,82.61,95.65,1.46,0.22,7.00,88.35,82.13,96.62,1.46,0.21,7.00,88.52,81.90,96.67,1.52,0.22,7.00,90.43,82.86,98.10,1.47,0.22,7.00,89.57,82.55,96.70,1.40,0.22,7.00,88.52,81.43,94.76,1.59,0.21,7.00,93.78,85.71,98.57,1.82,0.23,7.00,97.12,89.00,99.52
